35187701,Nokia,1110,,
35228201,Nokia,1110,,
35228901,Nokia,1110,,
35229601,Nokia,1110,,
35229701,Nokia,1110,,
35976600,Nokia,1110,,
35976700,Nokia,1110,,
35323701,Nokia,1110,,
35323801,Nokia,1110,,
35323901,Nokia,1110,,
35976800,Nokia,1110,,
35976900,Nokia,1110,,
35326001,Nokia,1110,,
35363201,Nokia,1110,,
35365601,Nokia,1110,,
35392601,Nokia,1110,,
35393701,Nokia,1110,,
35393901,Nokia,1110,,
35394301,Nokia,1110,,
35453901,Nokia,1110,,
35454701,Nokia,1110,,
35480901,Nokia,1110,,
35482201,Nokia,1110,,
35550201,Nokia,1110,,
35551901,Nokia,1110,,
35552001,Nokia,1110,,
35626701,Nokia,1110,,
35709200,Nokia,6060,,
35760700,Nokia,6060,,
35760800,Nokia,6060,,
35760900,Nokia,6060,,
35839600,Nokia,6060,,
35936300,Nokia,6060,,
35975800,Nokia,6060,,
35326701,Nokia,6060,,
35883300,Nokia,2610,,
35977100,Nokia,2610,,
35272801,Nokia,2610,,
35275101,Nokia,2610,,
35277001,Nokia,2610,,
35277101,Nokia,2610,,
35323401,Nokia,2610,,
35363401,Nokia,2610,,
35363501,Nokia,2610,,
35396701,Nokia,2610,,
35396801,Nokia,2610,,
35456001,Nokia,2610,,
35456101,Nokia,2610,,
35480801,Nokia,2610,,
35552801,Nokia,2610,,
35625901,Nokia,2610,,
35642701,Nokia,2610,,
35697601,Nokia,2610,,
35896701,Nokia,2610,,
35898201,Nokia,2610,,
35982601,Nokia,2610,,
35292702,Nokia,2610,,
35309002,Nokia,2610,,
35309702,Nokia,2610,,
35309802,Nokia,2610,,
35415602,Nokia,2610,,
35415702,Nokia,2610,,
35484702,Nokia,2610,,
35484802,Nokia,2610,,
35679302,Nokia,2610,,
35683502,Nokia,2610,,
35686302,Nokia,2610,,
35317603,Nokia,2610,,
35187301,Nokia,1110i,,
35187401,Nokia,1110i,,
35275501,Nokia,1110i,,
35326601,Nokia,1110i,,
35364301,Nokia,1110i,,
35364401,Nokia,1110i,,
35364501,Nokia,1110i,,
35364601,Nokia,1110i,,
35394401,Nokia,1110i,,
35396901,Nokia,1110i,,
35397001,Nokia,1110i,,
35397101,Nokia,1110i,,
35397201,Nokia,1110i,,
35453701,Nokia,1110i,,
35454001,Nokia,1110i,,
35457501,Nokia,1110i,,
35481701,Nokia,1110i,,
35484101,Nokia,1110i,,
35484201,Nokia,1110i,,
35484901,Nokia,1110i,,
35551001,Nokia,1110i,,
35551101,Nokia,1110i,,
35551201,Nokia,1110i,,
35552701,Nokia,1110i,,
35554101,Nokia,1110i,,
35554601,Nokia,1110i,,
35626901,Nokia,1110i,,
35628101,Nokia,1110i,,
35640201,Nokia,1110i,,
35640301,Nokia,1110i,,
35641101,Nokia,1110i,,
35642001,Nokia,1110i,,
35642101,Nokia,1110i,,
35645001,Nokia,1110i,,
35695801,Nokia,1110i,,
35696801,Nokia,1110i,,
35697901,Nokia,1110i,,
35698001,Nokia,1110i,,
35698601,Nokia,1110i,,
35698901,Nokia,1110i,,
35765501,Nokia,1110i,,
35766501,Nokia,1110i,,
35768001,Nokia,1110i,,
35769701,Nokia,1110i,,
35807001,Nokia,1110i,,
35807401,Nokia,1110i,,
35808601,Nokia,1110i,,
35863601,Nokia,1110i,,
35865501,Nokia,1110i,,
35867001,Nokia,1110i,,
35867101,Nokia,1110i,,
35982101,Nokia,1110i,,
35896401,Nokia,1110i,,
35896501,Nokia,1110i,,
35899401,Nokia,1110i,,
35899501,Nokia,1110i,,
35957201,Nokia,1110i,,
35957301,Nokia,1110i,,
35957401,Nokia,1110i,,
35203902,Nokia,1110i,,
35291002,Nokia,1110i,,
35187001,Nokia,1112,,
35229801,Nokia,1112,,
35274101,Nokia,1112,,
35325301,Nokia,1112,,
